scenario_id,scenario_name,metal_type,production_pathway,energy_source,location,expected_co2,expected_energy,expected_water,mci_percentage,cost_usd,sustainability_tier
SCEN001,Primary Aluminum Coal Grid,aluminum,primary,coal_heavy,china,15.8,15.2,1450,18,118000,standard
SCEN002,Recycled Aluminum Renewable,aluminum,recycled,renewable_heavy,europe,0.6,0.9,180,89,45000,premium
SCEN003,Primary Copper Mixed Grid,copper,primary,mixed_grid,india,4.2,24.8,1200,22,168000,standard
SCEN004,Recycled Steel EAF,steel,recycled,mixed_grid,europe,0.8,4.9,180,84,32000,premium
SCEN005,Primary Steel Nordic,steel,primary,hydro,nordics,1.5,19.2,620,48,72000,advanced
SCEN006,Copper Hydro Production,copper,primary,renewable_heavy,gcc,3.9,20.5,950,38,175000,advanced
SCEN007,Aluminum Hybrid Processing,aluminum,primary,mixed_grid,europe,11.2,13.8,950,45,125000,advanced
SCEN008,Steel Advanced Smelting,steel,primary,mixed_grid,nordics,1.9,18.2,680,50,78000,premium
SCEN009,Copper Circular Economy,copper,recycled,renewable_heavy,europe,0.9,2.8,240,92,82000,premium
SCEN010,Aluminum Megaplant China,aluminum,primary,coal_heavy,china,13.5,14.8,1380,20,95000,standard
